GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
be_java_hisp_w31_g3,com.mercadolibre.be_java_hisp_w31_g3.config,BeanConfig,0,7,0,0,0,2,0,2,0,2
be_java_hisp_w31_g3,com.mercadolibre.be_java_hisp_w31_g3.exception,BadRequestException,0,4,0,0,0,2,0,1,0,1
be_java_hisp_w31_g3,com.mercadolibre.be_java_hisp_w31_g3.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
be_java_hisp_w31_g3,com.mercadolibre.be_java_hisp_w31_g3.exception,ExceptionController,0,62,0,0,0,14,0,5,0,5
be_java_hisp_w31_g3,com.mercadolibre.be_java_hisp_w31_g3.exception,ConflictException,0,4,0,0,0,2,0,1,0,1
be_java_hisp_w31_g3,com.mercadolibre.be_java_hisp_w31_g3.controller,UserController,8,49,0,0,1,7,1,5,1,5
be_java_hisp_w31_g3,com.mercadolibre.be_java_hisp_w31_g3.controller,ProductController,0,58,0,0,0,8,0,6,0,6
be_java_hisp_w31_g3,com.mercadolibre.be_java_hisp_w31_g3,BeJavaHispW31G3Application,5,3,0,0,2,1,1,1,1,1
be_java_hisp_w31_g3,com.mercadolibre.be_java_hisp_w31_g3.service,PostService,19,484,19,42,1,108,20,34,2,21
be_java_hisp_w31_g3,com.mercadolibre.be_java_hisp_w31_g3.service,UserService.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
be_java_hisp_w31_g3,com.mercadolibre.be_java_hisp_w31_g3.service,UserService,3,301,0,21,2,77,0,26,0,15
be_java_hisp_w31_g3,com.mercadolibre.be_java_hisp_w31_g3.repository,UserRepository,0,101,0,0,0,22,0,10,0,10
be_java_hisp_w31_g3,com.mercadolibre.be_java_hisp_w31_g3.model,Post,0,12,0,0,0,2,0,2,0,2
be_java_hisp_w31_g3,com.mercadolibre.be_java_hisp_w31_g3.model,User,0,31,0,0,0,7,0,2,0,2
be_java_hisp_w31_g3,com.mercadolibre.be_java_hisp_w31_g3.util,UserMapper,3,36,0,0,1,14,1,3,1,3
be_java_hisp_w31_g3,com.mercadolibre.be_java_hisp_w31_g3.util,PostMapper,3,47,0,0,1,13,1,3,1,3
be_java_hisp_w31_g3,com.mercadolibre.be_java_hisp_w31_g3.dto,UserDto,18,3,0,0,7,1,1,1,1,1
be_java_hisp_w31_g3,com.mercadolibre.be_java_hisp_w31_g3.dto,ExceptionDto,0,12,0,0,0,6,0,2,0,2
