"Episode title","Actor name","Actor last name"
"Winter Is Coming",Emilia,Clarke
"The North Remembers",Emilia,Clarke
"Valar Dohaeris",Emilia,Clarke
"Two Swords",Emilia,Clarke
"The Wars to Come",Emilia,Clarke
"Winter Is Coming",Peter,Dinklage
"The North Remembers",Peter,Dinklage
"Valar Dohaeris",Peter,Dinklage
"Two Swords",Peter,Dinklage
"The Wars to Come",Peter,Dinklage
"The Red Woman",Peter,Dinklage
"Winter Is Coming",Kit,Harington
"The North Remembers",Kit,Harington
"Two Swords",Kit,Harington
"The Wars to Come",Kit,Harington
"The Red Woman",Kit,Harington
Pilot,Jared,Padalecki
"In My Time of Dying",Jared,Padalecki
"The Magnificent Seven",Jared,Padalecki
"Lazarus Rising",Jared,Padalecki
"Sympathy for the Devil",Jared,Padalecki
"Exile on Main St.",Jared,Padalecki
"Meet the New Boss",Jared,Padalecki
"I Think Im Gonna Like It Here",Jared,Padalecki
"A Very Special Supernatural Special",Jared,Padalecki
"Out of the Darkness, Into the Fire",Jared,Padalecki
Pilot,Jensen,Ackles
"In My Time of Dying",Jensen,Ackles
"The Magnificent Seven",Jensen,Ackles
"Lazarus Rising",Jensen,Ackles
"Meet the New Boss",Jensen,Ackles
"We Need to Talk About Kevin",Jensen,Ackles
"I Think Im Gonna Like It Here",Jensen,Ackles
"A Very Special Supernatural Special",Jensen,Ackles
"Out of the Darkness, Into the Fire",Jensen,Ackles
Pilot,Jim,Beaver
"In My Time of Dying",Jim,Beaver
"The Magnificent Seven",Jim,Beaver
"Lazarus Rising",Jim,Beaver
"Sympathy for the Devil",Jim,Beaver
"Exile on Main St.",Jim,Beaver
"Meet the New Boss",Jim,Beaver
"We Need to Talk About Kevin",Jim,Beaver
"I Think Im Gonna Like It Here",Jim,Beaver
"Out of the Darkness, Into the Fire",Jim,Beaver
"Days Gone Bye",Andrew,Lincoln
"What Lies Ahead",Andrew,Lincoln
Seed,Andrew,Lincoln
"No Sanctuary",Andrew,Lincoln
"First Time Again",Andrew,Lincoln
"Days Gone Bye",Jon,Bernthal
"What Lies Ahead",Jon,Bernthal
Seed,Jon,Bernthal
"30 Days Without an Accident",Jon,Bernthal
"No Sanctuary",Jon,Bernthal
"First Time Again",Jon,Bernthal
"What Lies Ahead",Sarah,Callies
Seed,Sarah,Callies
"30 Days Without an Accident",Sarah,Callies
"No Sanctuary",Sarah,Callies
"First Time Again",Sarah,Callies
Pilot,Jim,Caviezel
"The Contingency",Jim,Caviezel
Liberty,Jim,Caviezel
Panopticon,Jim,Caviezel
B.S.O.D.,Jim,Caviezel
Pilot,Taraji,Henson
"The Contingency",Taraji,Henson
Liberty,Taraji,Henson
Panopticon,Taraji,Henson
B.S.O.D.,Taraji,Henson
Pilot,Kevin,Chapman
Liberty,Kevin,Chapman
Panopticon,Kevin,Chapman
B.S.O.D.,Kevin,Chapman
Pilot,Johnny,Galecki
"The Bad Fish Paradigm",Johnny,Galecki
"The Electric Can Opener Fluctuation",Johnny,Galecki
"The Robotic Manipulation",Johnny,Galecki
"The Skank Reflex Analysis",Johnny,Galecki
"The Date Night Variable",Johnny,Galecki
"The Hofstadter Insufficiency",Johnny,Galecki
"The Locomotion Interruption",Johnny,Galecki
"The Matrimonial Momentum",Johnny,Galecki
Pilot,Jim,Parsons
"The Electric Can Opener Fluctuation",Jim,Parsons
"The Robotic Manipulation",Jim,Parsons
"The Skank Reflex Analysis",Jim,Parsons
"The Date Night Variable",Jim,Parsons
"The Hofstadter Insufficiency",Jim,Parsons
"The Locomotion Interruption",Jim,Parsons
"The Matrimonial Momentum",Jim,Parsons
Pilot,Kaley,Cuoco
"The Bad Fish Paradigm",Kaley,Cuoco
"The Skank Reflex Analysis",Kaley,Cuoco
"The Hofstadter Insufficiency",Kaley,Cuoco
"The Locomotion Interruption",Kaley,Cuoco
"The Matrimonial Momentum",Kaley,Cuoco
Pilot,Bryan,Cranston
"Seven Thirty-Seven",Bryan,Cranston
"No Más",Bryan,Cranston
"Box Cutter",Bryan,Cranston
"Live Free or Die",Bryan,Cranston
Fifty-One,Bryan,Cranston
"Dead Freight",Bryan,Cranston
Buyout,Bryan,Cranston
"Say My Name",Bryan,Cranston
"Gliding Over All",Bryan,Cranston
"Blood Money",Bryan,Cranston
Buried,Bryan,Cranston
Confessions,Bryan,Cranston
"Rabid Dog",Bryan,Cranston
"To hajiilee",Bryan,Cranston
Ozymandias,Bryan,Cranston
"Granite State",Bryan,Cranston
"No Más",Aaron,Paul
"Box Cutter",Aaron,Paul
"Live Free or Die",Aaron,Paul
Madrigal,Aaron,Paul
"Hazard Pay",Aaron,Paul
Fifty-One,Aaron,Paul
Buyout,Aaron,Paul
"Say My Name",Aaron,Paul
"Gliding Over All",Aaron,Paul
"Blood Money",Aaron,Paul
Buried,Aaron,Paul
Confessions,Aaron,Paul
"To hajiilee",Aaron,Paul
Ozymandias,Aaron,Paul
"Granite State",Aaron,Paul
Felina,Aaron,Paul
Pilot,Anna,Gunn
"Seven Thirty-Seven",Anna,Gunn
"No Más",Anna,Gunn
"Box Cutter",Anna,Gunn
"Live Free or Die",Anna,Gunn
Madrigal,Anna,Gunn
"Hazard Pay",Anna,Gunn
"Dead Freight",Anna,Gunn
Buyout,Anna,Gunn
"Say My Name",Anna,Gunn
"Gliding Over All",Anna,Gunn
"Blood Money",Anna,Gunn
Buried,Anna,Gunn
Confessions,Anna,Gunn
"To hajiilee",Anna,Gunn
Ozymandias,Anna,Gunn
Felina,Anna,Gunn
